Basin,Sample ID,Lithology,Epoch,Wt. % TOC
Bighorn Basin,BHB-02-045,carbshale,Eocene,0.9
Bighorn Basin,BHB-07-003,mudstone,Eocene,0.1
Bighorn Basin,BHB-07-004,carbshale,Eocene,47.1
Bighorn Basin,BHB-07-007,mudstone,Eocene,0.2
Bighorn Basin,BHB-07-008,carbshale,Eocene,1.9
Bighorn Basin,BHB-07-009,mudstone,Eocene,0.1
Bighorn Basin,BHB-07-010,carbshale,Eocene,4.9
Hanna Basin,HDR-002,claystone,Eocene,12.83
Hanna Basin,HDR-004,claystone,Eocene,27.92
Hanna Basin,HDR-007,carbclaystone,Eocene,2.72
Hanna Basin,HDR-010,carbclaystone,Eocene,16.98
Hanna Basin,HDR-013,carbclaystone,Eocene,14.79
Hanna Basin,HDR-014,claystone,Eocene,1.74
Hanna Basin,HDR-017,claystone,Eocene,2.69
Hanna Basin,HDR-022,siltstone,Eocene,2.17
Hanna Basin,HDR-027,siltstone,Eocene,5.8
Hanna Basin,HDR-029,claystone,Eocene,18.73
Hanna Basin,HDR-031,claystone,Eocene,4.94
Hanna Basin,HDR-032,claystone,Eocene,4.04
Hanna Basin,HDR-035,claystone,Eocene,3.4
Hanna Basin,HDR-037,claystone,Eocene,0.3
Hanna Basin,1-Jingo-FLE1S,sandstone,Paleocene,1.46
Hanna Basin,2-BCL-1614-FLE1S,sandstone,Eocene,2.35
Hanna Basin,3-LS1710-LEVELc-FLE1S,sandstone,Paleocene,1.06
Hanna Basin,4-LEVELD-FLE1S,sandstone,PETM,1.45
Hanna Basin,6-BC16-157M-FLE1S,carbclaystone,PETM,10.53
Hanna Basin,7-BC16-143M-FLE1S,sandstone,PETM,0.25
Hanna Basin,8-BC16-113M-FLE1S,sandstone,PETM,0.55
Hanna Basin,9-BC16-61M-FLE1S,sandstone,PETM,0.29
Hanna Basin,10-BC16-50M-FLE1S,carbclaystone,PETM,5.69
Hanna Basin,C89-AD,coal,Eocene,3.87
Hanna Basin,C88-AD S,coal,Eocene,3.38
Hanna Basin,C88-AD,coal,Eocene,5.18
Hanna Basin,C87-AD,coal,Eocene,6.83
Hanna Basin,RD1506,claystone,Eocene,1.47
Hanna Basin,RD1505,claystone,Eocene,10.07
Hanna Basin,RD1504,claystone,Eocene,1.39
Hanna Basin,EC1518,siltstone,Eocene,1.59
Hanna Basin,RD1502,claystone,Eocene,2.67
Hanna Basin,15-HB MD,claystone,Eocene,7.41
Hanna Basin,EC1513,carbclaystone,Eocene,3.54
Hanna Basin,EDC1501,carbclaystone,Eocene,2.34
Hanna Basin,EC1517,sandstone,Paleocene,0.72
Hanna Basin,EC1516,carbclaystone,Paleocene,5.72
Hanna Basin,EC1515,siltstone,Paleocene,0.32
Hanna Basin,18-BC-0,carbclaystone,Paleocene,1.73
Hanna Basin,18-BC-0z,carbclaystone,Paleocene,1.75
Hanna Basin,18-BC-2.2,carbclaystone,Paleocene,2.8
Hanna Basin,18-BC-2.32,carbclaystone,Paleocene,2.33
Hanna Basin,18-BC-2.32z,carbclaystone,Paleocene,1.9
Hanna Basin,18-BC-6.1A,coal,Paleocene,45.72
Hanna Basin,18-BC-6.1Az,coal,Paleocene,46.61
Hanna Basin,18-BC-7.02,claystone,Paleocene,1.14
Hanna Basin,18-BC-16.5,sandstone,Paleocene,0.15
Hanna Basin,18-BC-36.1,claystone,PETM,0.48
Hanna Basin,18-BC-42.75,siltstone,PETM,0.19
Hanna Basin,18-BC-42.75z,siltstone,PETM,0.18
Hanna Basin,18-BCJ-43.0,siltstone,PETM,0.22
Hanna Basin,18-BCJ-43.0z,siltstone,PETM,0.21
Hanna Basin,18-BCJ-43.2,siltstone,PETM,0.22
Hanna Basin,18-BCJ-43.2z,siltstone,PETM,0.21
Hanna Basin,18-BCJ-43.7,siltstone,PETM,0.22
Hanna Basin,18-BCJ-43.7z,siltstone,PETM,0.2
Hanna Basin,18-BCJ-43.9,siltstone,PETM,0.17
Hanna Basin,18-BCJ-43.9z,siltstone,PETM,0.15
Hanna Basin,18-BCJ-44.0,siltstone,PETM,0.15
Hanna Basin,18-BCJ-44.3,siltstone,PETM,0.24
Hanna Basin,18-BCJ-44.4,siltstone,PETM,0.47
Hanna Basin,18-BCJ-44.6,claystone,PETM,0.14
Hanna Basin,18-BCJ-44.6z,claystone,PETM,0.13
Hanna Basin,18-BCJ-44.8,claystone,PETM,0.19
Hanna Basin,18-BCJ-45.4,claystone,PETM,0.23
Hanna Basin,18-BCJ-45.7,carbclaystone,PETM,0.76
Hanna Basin,18-BCJ-45.9z,carbclaystone,PETM,0.69
Hanna Basin,18-BCJ-46.3z,carbclaystone,PETM,1.02
Hanna Basin,18-BC-48.2,claystone,PETM,0.38
Hanna Basin,18-BC-48.2z,claystone,PETM,0.24
Hanna Basin,18-BC-55.2,claystone,PETM,0.46
Hanna Basin,18-BC-61.1,claystone,PETM,0.36
Hanna Basin,18-BC-61.4,claystone,PETM,0.37
Hanna Basin,18-BC-61.55z,claystone,PETM,0.27
Hanna Basin,18-BC-82.5,claystone,PETM,0.27
Hanna Basin,18-BC-82.5z,claystone,PETM,0.27
Hanna Basin,18-BC-82.6z,claystone,PETM,0.3
Hanna Basin,18-BC-82.75,claystone,PETM,0.29
Hanna Basin,18-BC-82.75z,claystone,PETM,0.26
Hanna Basin,18-BC-119.9,sandstone,PETM,0.54
Hanna Basin,18-BC-120.2,sandstone,PETM,1.01
Hanna Basin,18-BC-120.4,claystone,PETM,0.74
Hanna Basin,18-BC-120.4z,claystone,PETM,0.59
Hanna Basin,18-BC-120.5,siltstone,PETM,0.61
Hanna Basin,18-BC-120.7,sandstone,PETM,0.64
Hanna Basin,18-BC-120.7z,sandstone,PETM,0.53
Hanna Basin,18-BC-120.9,claystone,PETM,0.45
Hanna Basin,18-BC-122.3,claystone,PETM,0.77
Hanna Basin,18-BC-122.5,claystone,PETM,2.17
Hanna Basin,18-BC-122.5z,claystone,PETM,2.1
Hanna Basin,18-BC-122.7,claystone,PETM,1.69
Hanna Basin,18-BC-122.9,claystone,PETM,2.28
Hanna Basin,18-BC-127.05,sandstone,PETM,0.82
Hanna Basin,18-BC-127.05z,sandstone,PETM,0.71
Hanna Basin,18-BC-127.32,claystone,PETM,0.81
Hanna Basin,18-BC-127.32z,claystone,PETM,0.81
Hanna Basin,18-BC-127.6,siltstone,PETM,0.52
Hanna Basin,18-BC-127.6z,siltstone,PETM,0.48
Hanna Basin,18-BC-128.0,carbclaystone,PETM,2.29
Hanna Basin,18-BC-128.2z,carbclaystone,PETM,1.45
Hanna Basin,18-BC-129.0,claystone,PETM,0.33
Hanna Basin,18-BC-129.2,claystone,PETM,0.23
Hanna Basin,18-BC-129.2z,claystone,PETM,0.24
Hanna Basin,18-BC-129.4,claystone,PETM,0.2
Hanna Basin,18-BC-129.7,claystone,PETM,0.27
Hanna Basin,18-BC-129.7z,claystone,PETM,0.17
Hanna Basin,18-BC-130.5,claystone,PETM,0.76
Hanna Basin,18-BC-130.5z,claystone,PETM,0.64
Hanna Basin,18-BC-131.5z,sandstone,PETM,0.16
Hanna Basin,18-BC-131.75,sandstone,PETM,0.23
Hanna Basin,18-BC-132.5,sandstone,PETM,0.11
Hanna Basin,18-BC-133.1,claystone,PETM,0.19
Hanna Basin,18-BC-133.1z,claystone,PETM,0.24
Hanna Basin,18-BC-133.5,claystone,PETM,0.25
Hanna Basin,18-BC-133.8,claystone,PETM,0.21
Hanna Basin,18-BC-133.8z,claystone,PETM,0.24
Hanna Basin,18-BC-134.25,claystone,PETM,0.12
Hanna Basin,18-BC-134.55,claystone,PETM,0.17
Hanna Basin,18-BC-134.55z,siltstone,PETM,0.14
Hanna Basin,18-BC-134.85,siltstone,PETM,0.18
Hanna Basin,18-BC-135.0,claystone,PETM,0.14
Hanna Basin,18-BC-135.0z,claystone,PETM,0.17
Hanna Basin,18-BC-135.4,siltstone,PETM,0.16
Hanna Basin,18-BC-135.7,claystone,PETM,0.16
Hanna Basin,18-BC-135.7z,claystone,PETM,0.17
Hanna Basin,18-BC-135.9,claystone,PETM,0.15
Hanna Basin,18-BC-136.1,claystone,PETM,0.18
Hanna Basin,18-BC-136.1z,claystone,PETM,0.12
Hanna Basin,18-BC-136.5,siltstone,PETM,0.15
Hanna Basin,18-BC-136.8,siltstone,PETM,0.41
Hanna Basin,18-BC-136.8z,siltstone,PETM,0.17
Hanna Basin,18-BC-137.2,claystone,PETM,0.2
Hanna Basin,18-BC-137.2z,claystone,PETM,0.17
Hanna Basin,18-BC-138.05,siltstone,PETM,0.16
Hanna Basin,18-BC-138.45,claystone,PETM,0.3
Hanna Basin,18-BC-138.45z,claystone,PETM,0.26
Hanna Basin,18-BC-138.65,siltstone,PETM,0.32
Hanna Basin,18-BC-138.65z,siltstone,PETM,0.24
Hanna Basin,18-BC-138.85,siltstone,PETM,0.22
Hanna Basin,18-BC-139.9,siltstone,PETM,0.23
Hanna Basin,18-BC-139.9z,siltstone,PETM,0.2
Hanna Basin,18-BC-140.3,siltstone,PETM,0.31
Hanna Basin,18-BC-140.9,siltstone,PETM,0.24
Hanna Basin,18-BC-140.9z,siltstone,PETM,0.2
Hanna Basin,18-BC-157.1,claystone,PETM,0.78
Hanna Basin,18-BC-157.1z,claystone,PETM,0.78
Hanna Basin,18-BC-157.6,carbclaystone,PETM,3.51
Hanna Basin,18-BC-158,carbclaystone,PETM,29.88
Hanna Basin,18-BC-158z,carbclaystone,PETM,36.74
Hanna Basin,18-BC-159.75,sandstone,Eocene,1.11
Hanna Basin,18-BC-160,sandstone,Eocene,0.96
Hanna Basin,18-BC-165.05,coal,Eocene,39.07
Hanna Basin,18-BC-165.05z,coal,Eocene,41.13
Hanna Basin,18-BC-165.2,coal,Eocene,40.87
Hanna Basin,18-BC-175.35,coal,Eocene,52.62
Hanna Basin,18-BC-175.35z,coal,Eocene,46.56
Hanna Basin,18-BC-175.9,coal,Eocene,10.97
Hanna Basin,18-BC-175.9z,coal,Eocene,8.75
Hanna Basin,18C82-195.59,siltstone,Paleocene,2.72
Hanna Basin,18C82-195.59z,siltstone,Paleocene,2.33
Hanna Basin,18C82-196.28,siltstone,Paleocene,1.1
Hanna Basin,18C82-196.7,siltstone,Paleocene,2.5
Hanna Basin,18C82-197.15,siltstone,Paleocene,0.99
Hanna Basin,18C82-197.34,siltstone,Paleocene,3.97
Hanna Basin,18C82-197.59,siltstone,Paleocene,3.92
Hanna Basin,18C82-197.94,siltstone,Paleocene,3.89
Hanna Basin,18C82-198.64,siltstone,Paleocene,7.44
Hanna Basin,18C82-194.79,siltstone,Paleocene,2.31
Hanna Basin,18C82-200.5,siltstone,Paleocene,1.5
Hanna Basin,18C82-200.5z,siltstone,Paleocene,1.37
Hanna Basin,18C82-200.5zz,siltstone,Paleocene,1.39
Hanna Basin,18C82-200.5zzz,siltstone,Paleocene,1.3
Hanna Basin,18C82-188.41,carbclaystone,Paleocene,13.94
Hanna Basin,18C82-189.31,claystone,Paleocene,2.15
Hanna Basin,18C82-189.53,carbclaystone,Paleocene,14.3
Hanna Basin,18C82-189.53z,carbclaystone,Paleocene,7.14
Hanna Basin,18C82-191.25,carbclaystone,Paleocene,1.72
Hanna Basin,18C82-191.96,carbclaystone,Paleocene,4.96
Hanna Basin,18C82-192.46,claystone,Paleocene,3.03
Hanna Basin,18C82-193.2,siltstone,Paleocene,1.9
Hanna Basin,18C82-193.54,siltstone,Paleocene,4.67
Hanna Basin,18C82-193.54z,siltstone,Paleocene,3.51
Hanna Basin,18C82-194,siltstone,Paleocene,3.62
Hanna Basin,18.SSR.0.3,coal,Eocene,51.5
Hanna Basin,18.SSR.0.7,carbclaystone,Eocene,7.53
Hanna Basin,18.SSR.1.1,coal,Eocene,21.64
Hanna Basin,18.SSR.1.4,coal,Eocene,40.64
Hanna Basin,18.SSR.1.5,carbclaystone,Eocene,6.96
Hanna Basin,18.SSR.1.8,coal,Eocene,11.37
Hanna Basin,18.SSR.2.5,coal,Eocene,39.78
Hanna Basin,18.SSR.2.7,carbclaystone,Eocene,16.66
Hanna Basin,18.SSR.3.4,coal,Eocene,37.03
Hanna Basin,18.SSR.3.6,carbclaystone,Eocene,29.72
Hanna Basin,18.SSR.3.9,carbclaystone,Eocene,8.89
Hanna Basin,18.SSR.4.0,claystone,Eocene,39.37
Hanna Basin,18.SSR.4.65,claystone,Eocene,48.55
Hanna Basin,18.SSR.4.75,claystone,Eocene,16.52
Hanna Basin,18.SSR.5.1,claystone,Eocene,66.24
Hanna Basin,18.SSR.13,claystone,Eocene,0.65
Hanna Basin,18.SSR.13z,claystone,Eocene,0.63
Hanna Basin,18.SSR.13.5,claystone,Eocene,0.77
Hanna Basin,18.SSR.13.5z,claystone,Eocene,0.74
Hanna Basin,18.SSR.14.3,claystone,Eocene,7.11
Hanna Basin,18.SSR.14.7,claystone,Eocene,0.89
Hanna Basin,18.SSR.15,claystone,Eocene,4.94
Hanna Basin,18.SSR.15z,claystone,Eocene,4.81
Hanna Basin,18.SSR.15.7,claystone,Eocene,6.27
Hanna Basin,18.SSR.15.7z,claystone,Eocene,7.75
Hanna Basin,2018-L17-12.75,siltstone,Paleocene,5.93
Hanna Basin,2018-L17-13.51,siltstone,Paleocene,3.18
Hanna Basin,2018-L17-13.51z,siltstone,Paleocene,3.11
Hanna Basin,2018-L17-14.10,siltstone,Paleocene,1.63
Hanna Basin,2018-L17-19.79,siltstone,Paleocene,3.07
Hanna Basin,2018-L17-21.11,siltstone,Paleocene,0.95
Hanna Basin,2018-L17-21.11z,siltstone,Paleocene,0.96
Hanna Basin,2018-L17-32.33,carbclaystone,Paleocene,15.54
Hanna Basin,2018-L17-33.33,carbclaystone,Paleocene,41.65
Hanna Basin,2018-L17-33.33z,carbclaystone,Paleocene,32.45
Hanna Basin,2018-L17-34.28,siltstone,Paleocene,1.86
Hanna Basin,2018-L17-39.90,claystone,Paleocene,0.21
Hanna Basin,2018-L17-42.75,sandstone,Paleocene,0.1
Hanna Basin,2018-L17-46.55z,siltstone,Paleocene,0.09
Hanna Basin,2018-L17-52.00,carbclaystone,Paleocene,2.17
Hanna Basin,2018-L17-52.00z,carbclaystone,Paleocene,2.25
Hanna Basin,2018-L17-53.70,siltstone,Paleocene,2.13
Hanna Basin,2018-L17-54.25,siltstone,Paleocene,0.39
Hanna Basin,2018-L17-58.75,siltstone,Paleocene,0.18
Hanna Basin,2018-L17-59.45,siltstone,Paleocene,0.29
Hanna Basin,2018-L17-59.85,siltstone,Paleocene,0.65
Hanna Basin,2018-L17-59.85z,siltstone,Paleocene,0.49
Hanna Basin,2018-L17-70.68,carbclaystone,Paleocene,4.02
Hanna Basin,2018-L17-70.68z,carbclaystone,Paleocene,4.24
Hanna Basin,2018-L17-71.78,siltstone,Paleocene,0.47
Hanna Basin,2018-L17-71.78z,siltstone,Paleocene,0.42
Hanna Basin,2018-L17-78.58,siltstone,Paleocene,0.2
Hanna Basin,2018-L17-78.58z,siltstone,Paleocene,0.21
Hanna Basin,2018-L17-100.20,siltstone,Paleocene,5.55
Hanna Basin,2018-L17-100.60,claystone,Paleocene,14.35
Hanna Basin,2018-L17-100.60z,claystone,Paleocene,15.05
Hanna Basin,2018-L17-101.30,siltstone,Paleocene,2.16
Hanna Basin,2018-L17-101.30z,siltstone,Paleocene,2.02
Hanna Basin,2018-L17-102.80,siltstone,Paleocene,0.97
Hanna Basin,2018-L17-126.40,siltstone,PETM,0.65
Hanna Basin,2018-L17-126.40z,siltstone,PETM,0.61
Hanna Basin,2018-L17-126.55,sandstone,PETM,0.3
Hanna Basin,2018-L17-126.75,sandstone,PETM,0.23
Hanna Basin,2018-L17-126.75z,sandstone,PETM,0.22
Hanna Basin,2018-L17-127.25,sandstone,PETM,0.23
Hanna Basin,2018-L17-128.05,sandstone,PETM,0.17
Hanna Basin,2018-L17-128.05z,sandstone,PETM,0.16
Hanna Basin,2018-L17-130.55,sandstone,PETM,0.16
Hanna Basin,2018-L17-130.55z,sandstone,PETM,0.17
Hanna Basin,2018-L17-137.33,sandstone,PETM,0.64
Hanna Basin,2018-L17-137.78,claystone,PETM,0.54
Hanna Basin,2018-L17-137.78z,claystone,PETM,0.54
Hanna Basin,2018-L17-138.18,claystone,PETM,0.49
Hanna Basin,2018-L17-144.30,siltstone,PETM,0.56
Hanna Basin,2018-L17-144.30z,siltstone,PETM,0.54
Hanna Basin,2018-L17-178.35z,claystone,PETM,0.73
Hanna Basin,2018-L17-178.60,claystone,PETM,0.63
Hanna Basin,2018-L17-181.02,sandstone,PETM,0.57
Hanna Basin,2018-L17-181.02z,sandstone,PETM,0.54
Hanna Basin,2018-L17-183.02,claystone,PETM,0.82
Hanna Basin,2018-L17-183.02z,claystone,PETM,0.62
Hanna Basin,2018-L17-183.42,claystone,PETM,0.78
Hanna Basin,2018-L17-183.42z,claystone,PETM,0.71
Hanna Basin,2018-L17-183.92z,sandstone,PETM,0.15
Hanna Basin,2018-L17-202.2,claystone,Eocene,5.82
Hanna Basin,2018-L17-202.2z,claystone,Eocene,6.72
Hanna Basin,2018-L17-203.00,claystone,Eocene,1.57
Hanna Basin,2018-L17-216.59,carbclaystone,Eocene,2.04
Hanna Basin,2018-L17-216.59z,carbclaystone,Eocene,2.03
Hanna Basin,2018-L17-217.49,carbclaystone,Eocene,4.26
Hanna Basin,2018-L17-218.29z,carbclaystone,Eocene,2.05
Hanna Basin,18 BR JCCS 02-6.75,carbclaystone,Eocene,8.48
Hanna Basin,18 BR JCCS 02-6.75z,carbclaystone,Eocene,10.37
Hanna Basin,2018-L17-219.29,claystone,Eocene,1.17
Hanna Basin,18 BR JCCS 02-8.27,carbclaystone,Eocene,8.66
Hanna Basin,18 BR JCCS 02-8.27z,carbclaystone,Eocene,9.2
Hanna Basin,2018-L17-220.79,siltstone,Eocene,2.51
Hanna Basin,2018-L17-220.79z,siltstone,Eocene,2.32
Hanna Basin,18 BR JCCS 02-9.05,siltstone,Eocene,1.26
Hanna Basin,18 BR JCCS 02-9.95,claystone,Eocene,0.61
Hanna Basin,2018-L17-222.49,claystone,Eocene,0.42
Hanna Basin,2018-L17-222.49z,claystone,Eocene,0.35
Hanna Basin,18 BR JCCS 02-10.7,carbclaystone,Eocene,2.99
Hanna Basin,18 BR JCCS 02-11.3z,siltstone,Eocene,0.84
Hanna Basin,2018-L17-223.29,carbclaystone,Eocene,3.27
