Basin,Epoch,unique_ID,values,ID
Bighorn Basin,Paleocene,24,0.3,Total Diterp
Bighorn Basin,Paleocene,25,22.2,Total Diterp
Bighorn Basin,Paleocene,26,0.3,Total Diterp
Bighorn Basin,Paleocene,27,10.1,Total Diterp
Bighorn Basin,Paleocene,28,5.9,Total Diterp
Bighorn Basin,Paleocene,29,19.9,Total Diterp
Bighorn Basin,Paleocene,30,52.7,Total Diterp
Bighorn Basin,Paleocene,31,4.4,Total Diterp
Bighorn Basin,Paleocene,32,4.4,Total Diterp
Bighorn Basin,Paleocene,33,13.4,Total Diterp
Bighorn Basin,Paleocene,34,3.7,Total Diterp
Bighorn Basin,Paleocene,35,0.1,Total Diterp
Bighorn Basin,Paleocene,36,3.3,Total Diterp
Bighorn Basin,Paleocene,37,1.6,Total Diterp
Bighorn Basin,Paleocene,38,3.4,Total Diterp
Bighorn Basin,Paleocene,39,0.6,Total Diterp
Bighorn Basin,Paleocene,40,0.7,Total Diterp
Bighorn Basin,Paleocene,41,2,Total Diterp
Bighorn Basin,Paleocene,42,4.8,Total Diterp
Bighorn Basin,Paleocene,43,0.4,Total Diterp
Hanna Basin,Eocene,44,384.48,Total Diterp
Hanna Basin,Eocene,45,15.78,Total Diterp
Hanna Basin,Eocene,46,0,Total Diterp
Hanna Basin,Eocene,47,83.51,Total Diterp
Hanna Basin,Eocene,48,0.04,Total Diterp
Hanna Basin,Eocene,49,0.02,Total Diterp
Hanna Basin,Eocene,50,0.05,Total Diterp
Hanna Basin,Eocene,51,0.37,Total Diterp
Hanna Basin,Eocene,52,8.16,Total Diterp
Hanna Basin,Eocene,53,11.64,Total Diterp
Hanna Basin,Eocene,54,0.98,Total Diterp
Hanna Basin,Eocene,55,0.22,Total Diterp
Hanna Basin,Eocene,56,0.01,Total Diterp
Hanna Basin,Eocene,57,0.02,Total Diterp
Hanna Basin,Paleocene,58,0.29,Total Diterp
Hanna Basin,Eocene,59,0.01,Total Diterp
Hanna Basin,Paleocene,60,0.01,Total Diterp
Hanna Basin,PETM,61,0,Total Diterp
Hanna Basin,PETM,62,3.7,Total Diterp
Hanna Basin,PETM,63,0.01,Total Diterp
Hanna Basin,PETM,64,0,Total Diterp
Hanna Basin,PETM,65,0,Total Diterp
Hanna Basin,PETM,66,0,Total Diterp
Bighorn Basin,PETM,67,0,Total Diterp
Bighorn Basin,Eocene,1,10.3,Total Triterp
Bighorn Basin,Eocene,2,27.4,Total Triterp
Bighorn Basin,Eocene,3,8.8,Total Triterp
Bighorn Basin,Eocene,4,1.9,Total Triterp
Bighorn Basin,Eocene,5,23.3,Total Triterp
Bighorn Basin,Eocene,6,7.1,Total Triterp
Bighorn Basin,Eocene,7,19.3,Total Triterp
Bighorn Basin,Eocene,8,9.6,Total Triterp
Bighorn Basin,Eocene,9,2.6,Total Triterp
Bighorn Basin,Eocene,10,9.1,Total Triterp
Bighorn Basin,Eocene,11,0,Total Triterp
Bighorn Basin,Eocene,12,6.1,Total Triterp
Bighorn Basin,Eocene,13,0,Total Triterp
Bighorn Basin,Eocene,14,0.2,Total Triterp
Bighorn Basin,Eocene,15,1.9,Total Triterp
Bighorn Basin,Eocene,16,0.7,Total Triterp
Bighorn Basin,Eocene,17,0,Total Triterp
Bighorn Basin,Eocene,18,0,Total Triterp
Bighorn Basin,Paleocene,19,27.5,Total Triterp
Bighorn Basin,Paleocene,20,48,Total Triterp
Bighorn Basin,Paleocene,21,23.9,Total Triterp
Bighorn Basin,Paleocene,22,55.9,Total Triterp
Bighorn Basin,Paleocene,23,38.8,Total Triterp
Bighorn Basin,Paleocene,24,12.5,Total Triterp
Bighorn Basin,Paleocene,25,192.4,Total Triterp
Bighorn Basin,Paleocene,26,2.3,Total Triterp
Bighorn Basin,Paleocene,27,23.1,Total Triterp
Bighorn Basin,Paleocene,28,4.8,Total Triterp
Bighorn Basin,Paleocene,29,1.8,Total Triterp
Bighorn Basin,Paleocene,30,1.2,Total Triterp
Bighorn Basin,Paleocene,31,0.1,Total Triterp
Bighorn Basin,Paleocene,32,1.7,Total Triterp
Bighorn Basin,Paleocene,33,8.9,Total Triterp
Bighorn Basin,Paleocene,34,27.8,Total Triterp
Bighorn Basin,Paleocene,35,1.9,Total Triterp
Bighorn Basin,Paleocene,36,110.5,Total Triterp
Bighorn Basin,Paleocene,37,0,Total Triterp
Bighorn Basin,Paleocene,38,0.1,Total Triterp
Bighorn Basin,Paleocene,39,1,Total Triterp
Bighorn Basin,Paleocene,40,0.1,Total Triterp
Bighorn Basin,Paleocene,41,0,Total Triterp
Bighorn Basin,Paleocene,42,0,Total Triterp
Bighorn Basin,Paleocene,43,1.2,Total Triterp
Hanna Basin,Eocene,44,0.1,Total Triterp
Hanna Basin,Eocene,45,0.1,Total Triterp
Hanna Basin,Eocene,46,0.5,Total Triterp
Hanna Basin,Eocene,47,0,Total Triterp
Hanna Basin,Eocene,48,0.1,Total Triterp
Hanna Basin,Eocene,49,0,Total Triterp
Hanna Basin,Eocene,50,0,Total Triterp
Hanna Basin,Eocene,51,0.1,Total Triterp
Hanna Basin,Eocene,52,0,Total Triterp
Hanna Basin,Eocene,53,0.1,Total Triterp
Hanna Basin,Eocene,54,0.4,Total Triterp
Hanna Basin,Eocene,55,0.2,Total Triterp
Hanna Basin,Eocene,56,0.1,Total Triterp
Hanna Basin,Eocene,57,0,Total Triterp
Hanna Basin,Paleocene,58,0,Total Triterp
Hanna Basin,Eocene,59,0.2,Total Triterp
Hanna Basin,Paleocene,60,0,Total Triterp
Hanna Basin,PETM,61,0.3,Total Triterp
Hanna Basin,PETM,62,0.7,Total Triterp
Hanna Basin,PETM,63,0,Total Triterp
Hanna Basin,PETM,64,0,Total Triterp
Hanna Basin,PETM,65,0,Total Triterp
Hanna Basin,PETM,66,0,Total Triterp
Bighorn Basin,PETM,67,0,Total Triterp
